car,dog,count
Fiat 124 Spider,Akita,2
Fiat 124 Spider,Bloodhound,2
Fiat 124 Spider,Weimaraner,1
BMW i8,Italian Greyhound,1
BMW i8,American Bulldog,2
BMW X6,Chihuahua,2
BMW X6,American Bulldog,2
BMW X6,Siberian Husky,1
BMW X6,Golden Retriever,1
BMW X6,Poodle,1
Ford Mustang,Poodle,1
Ford Mustang,Mutt,5
Ford Mustang,Rescue Dog,8
Ford Mustang,Great Dane,2
Ford Mustang,Chihuahua,2
Ford Mustang,Pitbull,13
Ford Mustang,Chinese Shar-Pei,1
Ford Mustang,German Shepherd Dog,2
Ford Mustang,Siberian Husky,1
Ford Mustang,American Bulldog,1
Ford Mustang,Rottweiler,1
Chevrolet City Express,Golden Retriever,1
Toyota Highlander,Welsh Corgi,3
Toyota Highlander,Beagle,7
Toyota Highlander,Siberian Husky,1
Toyota Highlander,German Shepherd Dog,4
Toyota Highlander,Pug,2
Toyota Highlander,Dachshund,1
Toyota Highlander,Basset Hound,1
Toyota Highlander,Labrador Retriever,1
Toyota Highlander,Border Collie,56
Toyota Highlander,Whippet,1
Toyota Highlander,Great Pyrenees,1
Toyota Highlander,Labradoodle,1
Toyota Highlander,Cockapoo,2
Toyota Highlander,Rescue Dog,1
Toyota Highlander,American Bulldog,1
Porsche Boxster,Bloodhound,1
Porsche Boxster,Chihuahua,73
Porsche Boxster,Basset Hound,1
Porsche Boxster,Bichon Frise,1
Porsche Boxster,Pitbull,8
Buick Encore,Rescue Dog,13
Buick Encore,Golden Retriever,41
Buick Encore,English Springer Spaniel,2
Buick Encore,Mutt,1
Buick Encore,Pomeranian,1
Chevrolet Express,Pug,17
Chevrolet Express,Poodle,1
Chevrolet Express,Rescue Dog,44
Chevrolet Express,Boston Terrier,3
Chevrolet Express,Miniature Pinscher,3
Fiat 500L,Pug,1
Volkswagen Passat,American Bulldog,2
Volkswagen Passat,Akita,1
Toyota Sienna,American Bulldog,3
Toyota Sienna,Beagle,1
Toyota Sienna,Goldendoodle,1
Buick Cascada,Labrador Retriever,1
Buick Cascada,Beagle,1
Nissan GT-R,Welsh Corgi,3
Nissan GT-R,Pug,1
BMW X5,Golden Retriever,1
BMW X5,Siberian Husky,1
Maserati GranTurismo,Bloodhound,1
Maserati GranTurismo,Pitbull,1
Nissan Juke,Rescue Dog,6
Nissan Juke,Bullmastiff,1
Nissan Juke,Bloodhound,1
Nissan Juke,English Springer Spaniel,3
Buick Envision,Chihuahua,1
Buick Envision,Pitbull,5
Buick Envision,Golden Retriever,1
Buick Envision,Cane Corso,1
Nissan NV200,Golden Retriever,7
Honda HR-V,Chihuahua,3
Honda HR-V,Border Collie,2
Honda HR-V,Bullmastiff,1
Honda HR-V,Pitbull,2
Honda HR-V,Pointer,1
Honda HR-V,Welsh Corgi,1
Honda HR-V,Newfoundland,1
Subaru Crosstrek,Shih Tzu,4
Subaru Crosstrek,Pitbull,1
Subaru Crosstrek,Rottweiler,1
Subaru Crosstrek,Border Collie,1
Subaru Crosstrek,Newfoundland,1
Subaru Crosstrek,German Shepherd Dog,1
Subaru Crosstrek,Australian Shepherd,1
Subaru Crosstrek,Rescue Dog,1
Chevrolet Camaro,Siberian Husky,1
Chevrolet Camaro,Labrador Retriever,1
Chevrolet Camaro,Pomeranian,1
Chevrolet Camaro,Mutt,4
Chevrolet Camaro,Whippet,1
Land Rover Range Rover,German Shepherd Dog,1
Land Rover Range Rover,Goldendoodle,1
Land Rover Range Rover,Chihuahua,1
Land Rover Range Rover,Border Collie,1
Nissan 370Z,Chihuahua,1
Nissan 370Z,Beagle,1
Subaru Impreza,Bernese Mountain Dog,3
Subaru Impreza,Bullmastiff,2
Subaru Impreza,Labrador Retriever,2
Subaru Impreza,Chihuahua,2
Subaru Impreza,Pitbull,11
Subaru Impreza,Siberian Husky,2
Subaru Impreza,Shih Tzu,2
Subaru Impreza,Poodle,1
Subaru Impreza,American Bulldog,1
Subaru Impreza,Pug,3
Subaru Impreza,Giant Schnauzer,1
Subaru Impreza,Akita,1
Hyundai Ioniq,Bloodhound,1
Dodge Ram,Chihuahua,2
Dodge Ram,American Bulldog,4
Dodge Ram,Jack Russell Terrier,2
Dodge Ram,Dachshund,1
Hyundai Sonata,Pitbull,1
Toyota Avalon,Chihuahua,2
Toyota Avalon,Mutt,3
Toyota Avalon,Newfoundland,1
Toyota Avalon,Beagle,1
Toyota Avalon,Jack Russell Terrier,2
Toyota Sequoia,Italian Greyhound,1
Toyota Sequoia,American Bulldog,2
Toyota Sequoia,Chihuahua,18
Toyota Sequoia,Pitbull,1
Chevrolet Equinox,Siberian Husky,1
Chevrolet Equinox,Rottweiler,1
Chevrolet Equinox,American Bulldog,2
Chevrolet Equinox,Italian Greyhound,1
Lexus NX,Rescue Dog,1
Subaru BRZ,German Shepherd Dog,2
Subaru BRZ,Bloodhound,3
Subaru BRZ,Dachshund,2
Subaru BRZ,Beagle,8
Subaru BRZ,Cockapoo,12
Subaru BRZ,American Bulldog,3
Subaru BRZ,Chihuahua,4
Lexus IS,Italian Greyhound,1
Lexus IS,Rottweiler,2
Lexus IS,Welsh Corgi,1
Lexus IS,Dalmatian,1
Mitsubishi Outlander,Labrador Retriever,1
Mitsubishi Outlander,Welsh Corgi,1
Mitsubishi Outlander,Golden Retriever,1
Volvo S80,Bloodhound,1
Volvo S80,Labrador Retriever,1
Acura NSX,Whippet,1
Acura NSX,Mutt,1
Acura NSX,Bullmastiff,1
Acura NSX,Labrador Retriever,1
Acura NSX,Chihuahua,1
Acura NSX,Pitbull,5
Acura NSX,Siberian Husky,1
Acura NSX,Shih Tzu,1
BMW Z4,Pug,1
Jaguar XF,Pitbull,1
Jaguar XF,Beagle,2
Jaguar XF,German Shepherd Dog,2
Jaguar XF,Belgian Malinois,1
Jaguar XF,Golden Retriever,1
Jaguar XF,Poodle,1
Bentley Flying Spur,Bloodhound,1
Fiat 500X,Akita,2
Chevrolet Tahoe,Border Collie,1
Chevrolet Tahoe,Giant Schnauzer,1
Chevrolet Tahoe,Poodle,1
Chevrolet Tahoe,Maltipoo,1
BMW 2-Series,Shih Tzu,1
Ford Edge,Weimaraner,1
Toyota FJ Cruiser,Dachshund,1
Toyota FJ Cruiser,Pitbull,1
Toyota FJ Cruiser,Basset Hound,4
Toyota FJ Cruiser,Cocker Spaniel,1
Toyota FJ Cruiser,Italian Greyhound,1
Toyota FJ Cruiser,Pomeranian,2
Toyota FJ Cruiser,American Bulldog,4
Toyota FJ Cruiser,Mutt,1
Toyota FJ Cruiser,Cockapoo,35
Subaru Legacy,American Bulldog,2
Subaru Legacy,Pug,2
Subaru Legacy,Siberian Husky,2
Subaru Legacy,Newfoundland,1
Subaru Legacy,Rescue Dog,1
Subaru Legacy,Beagle,1
Subaru Legacy,Goldendoodle,1
Subaru Legacy,Jack Russell Terrier,1
Kia K900,Chihuahua,2
Kia K900,American Bulldog,1
Mercedes-Benz B-Class,Maltese,5
Mercedes-Benz B-Class,Pitbull,5
Mercedes-Benz B-Class,Newfoundland,1
Mercedes-Benz B-Class,Siberian Husky,2
Audi TT,Samoyed,1
Audi TT,Dachshund,7
Audi TT,Border Collie,2
Audi TT,Basset Hound,1
Audi TT,American Bulldog,1
Audi TT,Siberian Husky,13
Volkswagen Jetta,American Bulldog,1
Volkswagen Jetta,Welsh Corgi,1
Volvo V60,Shih Tzu,1
Volvo V60,Poodle,1
Jaguar XJ,Beagle,66
Jaguar XJ,American Bulldog,2
GMC Terrain,Pug,1
Dodge Charger,American Bulldog,3
Dodge Charger,Miniature Pinscher,4
Dodge Charger,Golden Retriever,2
Dodge Charger,Pitbull,2
Dodge Charger,Boston Terrier,4
Dodge Charger,German Shepherd Dog,1
Dodge Charger,Dachshund,4
Dodge Charger,Great Pyrenees,3
Dodge Charger,Welsh Corgi,2
Dodge Charger,Pug,4
Dodge Dart,Welsh Corgi,2
Dodge Dart,American Bulldog,1
Dodge Dart,Pitbull,4
Dodge Dart,Bullmastiff,1
Dodge Dart,Border Collie,1
Dodge Dart,Rescue Dog,1
Dodge Dart,Chihuahua,5
Dodge Dart,Boston Terrier,1
BMW 4-Series,Pug,1
BMW 4-Series,Rescue Dog,1
BMW 4-Series,Siberian Husky,1
Nissan Maxima,Poodle,1
Nissan Maxima,Australian Shepherd,1
Nissan Maxima,Chihuahua,5
Kia Sorento,Pitbull,2
Kia Sorento,Welsh Corgi,1
Kia Sorento,Pug,1
Kia Sorento,Rescue Dog,5
Kia Sorento,German Shepherd Dog,1
Kia Sorento,Beagle,1
Kia Sorento,Pointer,1
Kia Sorento,Boston Terrier,1
Kia Sorento,Border Collie,1
Kia Sorento,American Bulldog,3
Dodge Durango,Bloodhound,1
Dodge Durango,Chihuahua,21
Dodge Durango,Dachshund,2
Dodge Durango,Pitbull,1
Mini Countryman,Jack Russell Terrier,1
Mini Countryman,Border Collie,1
Mini Countryman,American Bulldog,4
Mini Countryman,Pitbull,1
Mini Countryman,Rescue Dog,1
Mini Countryman,Pug,1
Jeep Grand Cherokee,Chihuahua,1
Jeep Grand Cherokee,Welsh Corgi,3
Jeep Grand Cherokee,Dalmatian,1
Cadillac CTS,Pug,1
Cadillac CTS,Newfoundland,1
Cadillac CTS,Labrador Retriever,3
Cadillac CTS,Border Collie,1
Porsche Panamera,American Bulldog,6
Porsche Panamera,Great Dane,1
Porsche Panamera,Border Collie,1
Kia Niro,Pug,1
Mazda 6,German Shepherd Dog,1
Mazda 6,Labrador Retriever,1
Ford F-Series,American Bulldog,4
Ford F-Series,Dachshund,1
Ford F-Series,Goldendoodle,2
Ford F-Series,Pug,1
GMC Canyon,Italian Greyhound,1
GMC Canyon,German Shepherd Dog,1
GMC Canyon,Chihuahua,1
Chrysler 300,Pug,1
Chrysler 300,Welsh Corgi,1
Mazda MX-5 Miata,Pug,1
Porsche 911,Bloodhound,2
Porsche Cayenne,Bloodhound,2
Porsche Cayenne,Rescue Dog,2
Porsche Cayenne,Rat Terrier,1
Hyundai Equus,Beagle,3
Hyundai Equus,Pitbull,2
Hyundai Equus,Pug,1
Hyundai Equus,German Shepherd Dog,4
Hyundai Equus,Bernese Mountain Dog,1
Hyundai Equus,Boston Terrier,1
Hyundai Equus,Bullmastiff,1
Hyundai Equus,American Bulldog,1
Hyundai Equus,Chihuahua,1
Hyundai Equus,Giant Schnauzer,1
Hyundai Equus,Italian Greyhound,1
Hyundai Equus,Dachshund,2
Hyundai Equus,Labrador Retriever,1
Lincoln Navigator,Chihuahua,8
Lincoln Navigator,Siberian Husky,1
Lincoln Navigator,Pug,1
Buick Regal,Welsh Corgi,44
Buick Regal,Golden Retriever,1
Buick Regal,Pomeranian,2
Buick Regal,Italian Greyhound,1
Buick Regal,Whippet,2
Buick Regal,Pointer,3
Buick Regal,Labrador Retriever,2
Buick Regal,Pug,1
Buick Regal,Chihuahua,8
Buick Regal,Rescue Dog,3
Buick Regal,Labradoodle,1
Buick Regal,Pitbull,2
Buick Regal,Dachshund,2
Buick Regal,Basset Hound,1
Buick Regal,Dalmatian,1
Buick Regal,Jack Russell Terrier,2
Buick Regal,Border Collie,1
Buick Regal,Poodle,5
Buick Regal,American Bulldog,1
Buick Regal,Chow Chow,1
Buick Regal,Beagle,1
Kia Rio,Chihuahua,1
Kia Rio,Pug,1
Kia Rio,Labrador Retriever,2
Kia Rio,Great Dane,1
Kia Rio,Shih Tzu,1
Kia Rio,Akita,1
Audi A3,Siberian Husky,1
Audi A3,Pitbull,1
Ford C-Max,Pitbull,2
Ford C-Max,Siberian Husky,2
Ford C-Max,Great Pyrenees,1
Ford C-Max,Chihuahua,2
Ford C-Max,Pug,2
Ford C-Max,Poodle,1
Ford C-Max,Beagle,1
Ford C-Max,Welsh Corgi,2
Ford C-Max,Jack Russell Terrier,1
Ford C-Max,Boston Terrier,1
Ford C-Max,Dachshund,1
Ford C-Max,German Shepherd Dog,1
Ford C-Max,Italian Greyhound,1
Cadillac ATS,Chihuahua,1
Volkswagen Atlas,Chihuahua,2
Volkswagen Atlas,Dachshund,2
Volkswagen Atlas,Pointer,1
Volkswagen Atlas,Jack Russell Terrier,1
Volkswagen Atlas,Rescue Dog,1
Mitsubishi Lancer,Jack Russell Terrier,2
Mitsubishi Lancer,Akita,2
Mitsubishi Lancer,Pitbull,3
Volvo XC90,Newfoundland,1
Hyundai Elantra,American Bulldog,1
Hyundai Accent,Pug,1
Hyundai Accent,Labrador Retriever,1
Hyundai Accent,Boston Terrier,1
Hyundai Accent,Golden Retriever,2
Hyundai Accent,American Bulldog,2
Hyundai Accent,Bullmastiff,1
Fiat 500,Rat Terrier,10
Fiat 500,Cane Corso,1
Fiat 500,American Bulldog,1
Fiat 500,Chihuahua,87
Fiat 500,Mutt,4
Fiat 500,Whippet,1
Fiat 500,Pug,1
Fiat 500,Rescue Dog,1
Fiat 500,Italian Greyhound,1
Genesis G80,Cockapoo,1
Genesis G80,Pug,2
Genesis G80,Bloodhound,1
Ford Transit,Border Collie,3
Ford Transit,Welsh Corgi,1
Toyota Venza,Pug,1
Infiniti QX30,Chihuahua,1
Acura MDX,Rottweiler,6
Acura MDX,Maltese,4
Acura MDX,American Bulldog,3
Acura MDX,Newfoundland,1
Hyundai Tucson,American Bulldog,2
Hyundai Tucson,Newfoundland,1
Toyota Prius,Poodle,1
Toyota Prius,Jack Russell Terrier,1
Toyota Prius,Dalmatian,2
Honda Crosstour,Pug,1
Honda Crosstour,Dachshund,2
Honda Crosstour,Siberian Husky,10
Honda Crosstour,Doberman Pinscher,1
Mercedes-Benz C-Class,Poodle,2
Mercedes-Benz C-Class,German Shepherd Dog,1
Mercedes-Benz C-Class,Welsh Corgi,1
